part_id,long_description,inner_dia_in,outer_dia_in,dyn_load,max_speed_rpm,unit_price_eur
AXI-BEA0000,Deep groove ball bearing 6001-2RS industrial grade,0.984,1.772,"14,3",9000,45.6
AXI-BEA0001,Deep groove ball bearing 6308-2RS industrial grade,2.441,3.031,"7,4",9000,41.12
NOR-BEA0002,Deep groove ball bearing 6308-2RS industrial grade,2.441,3.031,"12,8",15000,5.39
NOR-BEA0003,Deep groove ball bearing 6002-2RS industrial grade,2.047,2.638,"14,4",9000,27.8
MEC-BEA0004,Deep groove ball bearing 6208-Z industrial grade,2.441,3.031,"29,5",15000,63.39
NOR-BEA0005,Deep groove ball bearing 6305-2RS industrial grade,2.441,3.031,"30,1",15000,47.27
ROL-BEA0006,Deep groove ball bearing 6205 industrial grade,1.181,1.772,"34,6",9000,32.2
NOR-BEA0007,Deep groove ball bearing 6002-Z industrial grade,1.181,1.772,"16,6",15000,46.01
MEC-BEA0008,Deep groove ball bearing 6205 industrial grade,1.181,1.969,"27,3",9000,64.37
AXI-BEA0009,Deep groove ball bearing 6001 industrial grade,2.441,2.835,"26,0",9000,53.3
NOR-BEA0010,Deep groove ball bearing 6305-Z industrial grade,0.984,1.378,"32,5",15000,34.95
NOR-BEA0011,Deep groove ball bearing 6001-Z industrial grade,1.181,1.772,"10,5",15000,30.71
MEC-BEA0012,Deep groove ball bearing 6308-Z industrial grade,1.575,1.969,"34,9",9000,7.83
MEC-BEA0013,Deep groove ball bearing 6205-2RS industrial grade,1.181,1.969,"18,5",9000,64.77
NOR-BEA0014,Deep groove ball bearing 6308-Z industrial grade,2.441,2.835,"25,9",9000,25.41
NOR-BEA0015,Deep groove ball bearing 6208-Z industrial grade,1.181,1.772,"6,6",15000,50.72
AXI-BEA0016,Deep groove ball bearing 6308-2RS industrial grade,1.575,2.362,"21,0",9000,14.69
ROL-BEA0017,Deep groove ball bearing 6002 industrial grade,0.984,1.772,"15,7",9000,57.72
ROL-BEA0018,Deep groove ball bearing 6002-Z industrial grade,1.181,1.575,"13,4",15000,34.16
AXI-BEA0019,Deep groove ball bearing 6205 industrial grade,1.181,1.575,"25,3",15000,57.35
NOR-BEA0020,Deep groove ball bearing 6305-2RS industrial grade,2.441,3.228,"26,2",15000,45.3
ROL-BEA0021,Deep groove ball bearing 6208-Z industrial grade,2.441,3.031,"9,9",9000,40.3
ROL-BEA0022,Deep groove ball bearing 6206 industrial grade,1.181,1.575,"8,5",15000,59.33
MEC-BEA0023,Deep groove ball bearing 6002-Z industrial grade,0.984,1.772,"13,3",15000,12.94
AXI-BEA0024,Deep groove ball bearing 6308 industrial grade,2.047,2.441,"28,9",12000,44.54
ROL-BEA0025,Deep groove ball bearing 6208-Z industrial grade,2.047,2.638,"31,1",9000,48.69
AXI-BEA0026,Deep groove ball bearing 6002-2RS industrial grade,1.181,1.575,"11,9",12000,21.71
ROL-BEA0027,Deep groove ball bearing 6206-2RS industrial grade,2.047,2.835,"9,3",15000,60.58
MEC-BEA0028,Deep groove ball bearing 6002-2RS industrial grade,1.181,1.772,"20,3",9000,14.88
MEC-BEA0029,Deep groove ball bearing 6205-Z industrial grade,1.575,2.165,"14,6",15000,22.8
ROL-BEA0030,Deep groove ball bearing 6205 industrial grade,2.441,2.835,"27,8",9000,35.17
AXI-BEA0031,Deep groove ball bearing 6002 industrial grade,1.181,1.575,"33,9",9000,9.08
AXI-BEA0032,Deep groove ball bearing 6002-2RS industrial grade,2.047,2.441,"33,3",15000,7.38
AXI-BEA0033,Deep groove ball bearing 6205-Z industrial grade,2.441,3.228,"21,4",12000,23.85
NOR-BEA0034,Deep groove ball bearing 6208-Z industrial grade,1.181,1.969,"24,9",12000,61.14
AXI-BEA0035,Deep groove ball bearing 6205-Z industrial grade,2.441,3.228,"34,9",9000,12.95
NOR-BEA0036,Deep groove ball bearing 6208-2RS industrial grade,1.181,1.772,"14,6",12000,64.23
ROL-BEA0037,Deep groove ball bearing 6001 industrial grade,0.984,1.772,"29,8",12000,13.06
AXI-BEA0038,Deep groove ball bearing 6205-2RS industrial grade,2.441,2.835,"14,3",15000,17.22
ROL-BEA0039,Deep groove ball bearing 6001-Z industrial grade,2.441,3.031,"13,7",9000,54.76
