unspsc_code,title,family
31161501,Ball bearings,Bearings
31161502,Roller bearings,Bearings
31161503,Bearing units and housings,Bearings
31161504,Thrust bearings,Bearings
31161600,Bearing accessories,Bearings
31161700,Linear motion bearings,Bearings
31161900,Other bearings,Bearings
31171501,Threaded fasteners Bolts,Fasteners
31171502,Threaded fasteners Screws,Fasteners
31171503,Threaded fasteners Nuts,Fasteners
31171504,Threaded fasteners Washers,Fasteners
31171505,Self-locking fasteners,Fasteners
31171600,Rivets and pins,Fasteners
31171700,Anchors,Fasteners
41113600,Sensor multiplexers and accessories,Sensors
41113700,Sensor switching apparatus,Sensors
41113800,Position sensors,Sensors
41113900,Pressure and temperature sensors,Sensors
41134100,Motion and presence sensors,Sensors
41134117,Inductive proximity sensors,Sensors
24111900,Electrical power and load monitoring,Sensors
39121600,Industrial control and measurement software,Other
